Encoded SMILES,log P,Exact cone angle ($^\circ$)
[Li]<-P(Cl)(OC(=C(F)F)C(F)(F)F)C1(C)C(C)=C(C)C(C)=C1C,6.669200000000003,175.51660820826277
[Li]<-Nc1ccccc1,1.2688000000000001,99.14409139659654
[Li]<-NCCN1CCOCC1,-0.7227000000000003,196.98528103945068
[Li]<-P(c1ccccc1OC)(c1ccccc1OC)c1ccccc1OC,3.470600000000002,203.7679001972353
[Li]<-P1(Cl)N(C)CCN1C,1.3293,148.20577238049853
[Li]<-n1ccc(C(C)O)cc1,1.1348999999999998,132.5655242914031
[Li]<-n1ccncc1,0.4765999999999999,127.69824138201183
[Li]<-N(CCN(C(C)C)C(C)C)=C(N(C)C)N(C)C,1.5844,258.85987722603846
[Li]<-n1ccc(C(O)(c2ccccc2)c2ccccc2)cc1,3.365800000000002,132.6383139281804
[Li]<-n1ccccc1C,1.39002,149.47523389516317
[Li]<-N1C(C)(C)CCCC1(C)C,2.3171,190.14779337572602
[Li]<-n1c(N)sc2cc(C)ccc21,2.1869199999999998,170.12547642036702
[Li]<-P1(C2(C)C(C)=C(C)C(C)=C2C)OC1c1ccccc1,5.557400000000005,184.57520718209216
[Be]=[C]1N(C)c2ccccc2N1Cc1ccccc1,3.1392900000000017,170.66820717624404
[Li]<-N1=C(c2ccccc2C)NCC1,1.3448200000000001,163.0538984435415
[Li]<-P(NC(C)c1ccccc1)(c1ccccc1)c1ccccc1,4.385100000000003,142.10898467274663
[Be]=[C]1N(c2c(C)cc(C)cc2C)C=CN1c1c(C)cc(C)cc1C,5.331210000000005,192.97133313910808
[Li]<-n1ccc(C(C)=O)cc1,1.2842,134.49606579106478
[Li]<-O=C(c1ccccc1)c1ccccc1,2.917600000000001,121.27416821352485
[Li]<-P1(Cl)CC2C=CC1O2,1.9167999999999998,115.66098890418839
[Li]<-N1=C(C2=NCCN2)NCC1,-1.0101999999999995,161.25613172218019
[Be]=[C]1N(Cc2ccccc2)C=C(C#C[Si](C)(C)C)N1C,3.152490000000002,163.63329774752395
