log P,Ligand coordination bulkiness (Å$^3$)
3.1545,12.204161736561089
1.4449799999999997,7.140337446785025
0.7953999999999999,7.880245348558493
1.712,1.963566617927102
0.2803199999999998,8.979115815721336
-0.2010100000000003,6.925561417824807
1.1872,7.604689973726825
0.0281999999999998,1.8387783689363106
-0.3881000000000003,1.8387783689363106
2.6248000000000005,5.1313936645694715
0.4488999999999998,8.175199010828527
1.9811,6.015488102772097
1.5757199999999998,7.604689973726825
2.4108,7.729478222717616
1.92989,1.8387783689363106
1.4820999999999998,8.854327566730545
1.0929,7.265125695775816
0.4257,2.462719613890267
0.8684000000000001,7.389913944766607
2.4544000000000006,1.963566617927102
2.571900000000001,9.443468342663136
2.385120000000001,7.265125695775816
3.6636000000000015,4.051921484844995
0.96178,1.8387783689363106
-0.5240999999999998,5.00660541557868
4.306740000000003,3.6775567378726213
1.7270999999999996,11.032670213617864
1.47389,6.675984919843224
-1.5298099999999994,10.138765628755628
3.3435200000000016,12.204161736561089
0.9845400000000002,2.2131431159086845
0.9738,9.318680093672345
0.4232,2.4827127095377124
3.1064000000000016,3.9271332358542037
0.2718999999999998,7.514702193757399
1.10249,6.675984919843224
2.1641000000000004,4.176709733835787
1.90589,6.675984919843224
2.385120000000001,7.265125695775816
-0.2771099999999997,6.800773168834016
1.5823,6.800773168834016
1.97875,5.336359546870079
1.6935,2.3379313648994757
1.69682,5.301559077848714
0.2488999999999999,7.140337446785025
0.2265999999999999,9.318680093672345
3.0406000000000013,5.516335106808932
-1.5375000000000003,7.604689973726825
1.0313899999999998,6.4612088908830065
0.1497,7.604689973726825
2.4206000000000003,6.015488102772097
0.9376,7.604689973726825
0.9376,7.604689973726825
1.5779,7.265125695775816
1.25107,6.675984919843224
1.7057,1.8387783689363106
2.02699,3.8023449868634125
-0.4748099999999997,5.4263473268395055
2.0012,2.0883548669178933
4.101900000000001,3.9271332358542037
1.3672,7.604689973726825
-0.7930099999999991,6.800773168834016
2.5429000000000004,9.568256591653928
2.7394000000000007,2.2131431159086845
2.385120000000001,7.604689973726825
3.506800000000002,5.1313936645694715
1.7816199999999998,1.624002339976093
2.997300000000001,2.0883548669178933
0.7213999999999998,8.514763288779536
2.2161,9.318680093672345
